"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.service.ts", "TypeScript", 0, 216, 0, 0, 0, 0, 0, 0, 0, 29, 50, 295
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\dto\link.dto.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 12, 53
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\links.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\links.controller.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 25, 21, 145
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\links.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\links.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\links\links.service.ts", "TypeScript", 0, 195, 0, 0, 0, 0, 0, 0, 0, 28, 63, 286
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.controller.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.listener.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.service.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.types.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\dto\streak.dto.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.controller.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 15, 13, 74
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.engine.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 9, 20, 82
