"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 0, 4, 19, 166
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 8, 55
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 7, 43, 202
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\onboarding-form\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 10, 48
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\AuthContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 6, 16, 102
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 13, 63
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 17, 80
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\SocialButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 6, 56
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding-form\OnboardingFormContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 16, 113
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding-form\OnboardingProgress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding-form\StepDiscipline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding-form\StepGoal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding-form\StepWorkStyle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding\OnboardingContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 2, 13, 81
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding\OnboardingDots.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\onboarding\OnboardingStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 9, 39
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\layout\CommandMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 9, 15, 123
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 169, 0, 0, 0, 11, 37, 217
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 261, 0, 0, 0, 28, 35, 324
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\ui\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 9, 63
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\ui\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 6, 39
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 5, 27
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 11, 53
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\types\goal.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 15, 34, 121
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\types\onboarding.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\types\task.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\types\user.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\lib\api.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 14, 65
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\lib\supabase.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\utils\format.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\tailwind.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 16469, 57, 1616, 91, 38, 5038, 6, 172, 137, 471, 1464, 25559
